1,2,3,4,5,6,7,8,results
Probably yes,Probably No,No,Probably yes,No,Probably yes,Probably yes,Probably yes,mild
Yes,Probably No,Yes,Yes,No,Probably yes,Yes,Probably No,severe
No,Probably No,Probably yes,No,No,Probably yes,Yes,No,normal
No,Probably No,Probably yes,No,Yes,Probably No,No,Yes,mild
No,Probably No,Probably yes,No,Yes,Probably No,No,No,normal
No,Probably No,Probably yes,No,Probably yes,Probably No,Yes,No,normal
No,Probably yes,Probably No,No,No,Probably No,No,No,normal
No,Probably yes,No,No,No,Probably No,No,Yes,normal
Probably yes,Yes,Yes,Probably yes,No,Probably No,Yes,Yes,severe
Probably yes,No,No,Probably yes,No,Yes,No,Probably yes,normal
Probably yes,Probably No,No,Probably yes,Probably yes,Yes,Yes,No,mild
Probably No,No,No,Probably No,No,Yes,Probably yes,No,normal
Probably No,Yes,Yes,Probably No,Yes,Yes,Probably yes,No,severe
Probably No,No,Yes,Probably No,No,Probably yes,Probably yes,Probably No,mild
Yes,Yes,Probably yes,Yes,Probably yes,Probably yes,Probably No,Probably No,severe
No,No,No,No,Yes,Probably No,Probably No,Yes,normal
No,Probably yes,No,No,No,Probably No,Probably No,Yes,normal
No,Probably No,No,No,No,Yes,Probably No,Probably yes,normal
Probably No,No,No,Probably No,Yes,No,Probably No,Probably yes,normal
No,Yes,Probably yes,No,Probably yes,No,No,Probably yes,normal
No,No,No,No,Probably yes,No,No,No,normal
Probably No,Probably yes,Yes,Probably No,Probably yes,Probably yes,No,No,mild
No,No,No,No,Probably yes,Probably yes,No,No,normal
No,Probably No,Probably yes,No,Probably No,Probably yes,No,No,normal
Probably No,Probably No,Yes,Probably No,No,Probably yes,No,No,normal
No,Probably No,No,No,Yes,Yes,No,No,normal
No,Probably yes,No,No,No,Yes,No,No,normal
Probably yes,Probably yes,Yes,Probably yes,No,Probably yes,No,Probably No,mild
No,Probably yes,Probably yes,No,No,No,No,Probably No,normal
Yes,Probably yes,Probably yes,Yes,Probably No,Probably yes,No,Probably No,mild
No,Yes,Probably yes,No,Probably No,Yes,No,Probably No,mild
Probably yes,No,Probably yes,Probably yes,Probably yes,Probably No,No,Probably No,mild
Yes,No,Probably No,Yes,Probably yes,No,Yes,Probably No,mild
No,No,No,No,Probably yes,No,No,Probably No,normal
No,No,Yes,No,Probably yes,Probably yes,No,Probably No,normal
Yes,No,No,Yes,Yes,Yes,Probably No,Probably No,mild
Probably yes,No,No,Probably yes,No,No,Probably No,Probably No,normal
Probably yes,No,No,Probably yes,No,No,Yes,Yes,mild
Probably yes,Yes,Probably No,Probably yes,No,No,Probably No,Probably No,mild
Probably yes,Yes,Probably No,Probably yes,No,No,Probably yes,Probably No,mild
Probably No,Probably yes,Probably yes,Probably No,No,No,No,No,normal
No,Probably yes,Probably yes,No,No,No,No,No,normal
Yes,No,Probably yes,Yes,No,Probably yes,Yes,Probably yes,severe
No,Probably No,Probably yes,No,Yes,Probably yes,No,Probably yes,mild
No,Probably No,Yes,No,Yes,Probably yes,Yes,Yes,severe
No,Probably yes,No,No,Probably yes,Probably No,Yes,Yes,mild
Yes,Probably yes,No,Yes,Probably yes,Probably No,Yes,Yes,severe
Yes,Probably yes,No,Yes,No,Probably No,Probably yes,Probably No,mild
Probably yes,Probably yes,No,Probably yes,Probably No,Yes,No,No,mild
No,Probably yes,No,No,Probably No,No,No,No,normal
No,Probably No,No,No,Probably yes,No,Probably No,No,normal
No,Probably No,No,No,Probably yes,No,No,No,normal
Probably No,Probably No,Yes,Probably No,Probably yes,Probably No,No,No,normal
Probably No,Probably No,Yes,Probably No,Probably yes,No,No,No,normal
Yes,Probably No,Probably yes,Yes,Probably yes,No,Probably No,No,mild
Yes,Probably No,Probably yes,Yes,Probably No,Probably No,Probably No,No,mild
Probably yes,Yes,No,Probably yes,Probably No,No,Probably No,No,normal
Probably yes,Yes,Probably No,Probably yes,Probably No,No,No,Probably No,mild
Probably yes,Yes,Probably No,Probably yes,Probably No,Probably No,No,Probably No,mild
No,Yes,Probably yes,No,Probably No,No,No,Probably No,normal
No,Probably yes,Probably yes,No,Probably No,No,No,Probably No,normal
No,Probably yes,Probably yes,No,Yes,Probably yes,Yes,Probably No,mild
No,Probably No,Probably yes,No,Yes,No,No,Probably yes,normal
No,Probably No,Probably yes,No,Yes,Yes,Probably yes,Probably yes,mild
No,Probably No,Probably No,No,Yes,No,No,Probably yes,normal
No,No,Probably No,No,Probably yes,Probably yes,Yes,Yes,mild
Probably No,No,Probably No,Probably No,Probably yes,Yes,No,Yes,mild
Probably No,No,Probably No,Probably No,Probably No,No,Probably yes,No,normal
Probably No,Probably yes,Probably No,Probably No,Probably No,No,No,No,normal
Probably No,Probably yes,Probably No,Probably No,Probably yes,Yes,Probably yes,Yes,severe
